order_lines_id,unit_price,price_net,tax_rate,tax_amount,total_price,quantity,created_at,product_id,order_id,category
0,20.450408232883554,38.0,0.1,2.05,20.45,1,2023-10-18 22:32:19,53,6941,Home Appliances
1,57.09269639791527,49.37,0.1,5.71,228.37,4,2023-10-06 03:52:30,15,8532,Clothing
2,28.30965611314191,31.79,0.1,2.83,141.55,5,2024-08-21 01:02:47,7,1065,Home Appliances
3,47.498032604036084,60.38,0.1,4.75,142.49,3,2024-06-28 19:34:34,65,11427,Automotive
4,83.06608750430081,69.38,0.1,8.31,249.2,3,2023-12-17 05:46:21,40,7806,Watches
5,58.92929636082109,52.58,0.1,5.89,58.93,1,2024-09-07 03:00:45,71,10484,Musical Instruments
6,27.270871743750455,16.05,0.1,2.73,27.27,1,2024-07-15 13:55:05,29,2611,Toys
7,56.97951000784316,21.75,0.1,5.7,284.9,5,2023-12-14 17:50:12,38,639,Health
8,14.72871650971356,65.46,0.1,1.47,58.91,4,2024-06-27 04:24:05,31,2284,Outdoor
9,32.88832653572792,60.03,0.1,3.29,98.66,3,2024-04-07 20:47:59,23,8905,Clothing
10,73.80273009321957,19.06,0.1,7.38,73.8,1,2024-09-06 10:47:52,32,1279,Watches
11,78.12197670209814,80.52,0.1,7.81,390.61,5,2023-09-19 09:34:42,37,7361,Accessories
12,42.20255039941055,22.43,0.1,4.22,126.61,3,2024-03-16 17:53:25,54,6635,Bags
13,43.7469583749273,85.75,0.1,4.37,218.73,5,2023-11-27 03:43:16,3,470,Outdoor
14,39.68306791612835,19.32,0.1,3.97,39.68,1,2023-10-30 09:00:36,22,9737,Bags
15,21.353216199314794,87.69,0.1,2.14,106.77,5,2024-01-12 15:28:53,1,6552,Sports Equipment
16,63.43056976607762,51.58,0.1,6.34,253.72,4,2023-11-25 10:53:20,73,11112,Office Supplies
17,97.00729896638508,38.19,0.1,9.7,97.01,1,2024-05-31 05:57:32,59,5890,Watches
18,81.39339682529803,83.27,0.1,8.14,162.79,2,2024-07-04 02:46:04,52,10137,Books
19,72.93684881761908,22.58,0.1,7.29,364.68,5,2024-03-10 14:52:25,2,6722,Health
20,26.01661751570181,52.78,0.1,2.6,26.02,1,2023-10-19 19:30:57,44,11355,Accessories
21,76.81917615903417,9.47,0.1,7.68,153.64,2,2024-04-23 13:57:56,74,11018,Furniture
22,39.04610166122893,75.14,0.1,3.9,39.05,1,2024-05-05 05:09:48,51,10151,Musical Instruments
23,47.34371826502234,49.37,0.1,4.73,94.69,2,2023-12-19 00:04:33,68,10204,Electronics
24,14.72871650971356,65.46,0.1,1.47,44.19,3,2024-03-26 00:36:07,31,815,Outdoor
25,39.04610166122893,75.14,0.1,3.9,78.09,2,2024-02-27 01:16:36,51,6620,Musical Instruments
26,57.09269639791527,49.37,0.1,5.71,171.28,3,2024-08-07 21:39:40,15,11365,Clothing
27,37.45831505939198,44.18,0.1,3.75,187.29,5,2023-12-17 19:47:07,43,5196,Outdoor
28,81.39339682529803,83.27,0.1,8.14,81.39,1,2023-11-09 04:50:21,52,1575,Books
29,89.57582588746997,63.02,0.1,8.96,179.15,2,2024-02-18 14:16:45,4,11400,Furniture
30,97.00729896638508,38.19,0.1,9.7,291.02,3,2023-09-15 14:58:10,59,4099,Watches
31,75.77503833884339,66.07,0.1,7.58,303.1,4,2023-10-04 19:52:55,35,10744,Stationery
32,42.20255039941055,22.43,0.1,4.22,84.41,2,2024-03-29 19:29:25,54,6611,Bags
33,75.60531844838619,14.85,0.1,7.56,151.21,2,2024-08-08 05:53:16,67,10072,Automotive
34,14.11835247939678,89.8,0.1,1.41,56.47,4,2024-05-06 10:13:00,58,3727,Toys
35,41.940209548708665,61.96,0.1,4.19,209.7,5,2023-10-02 09:55:51,0,8629,Stationery
36,66.13277726026526,47.44,0.1,6.61,198.4,3,2023-11-07 16:56:25,14,7315,Office Supplies
37,20.450408232883554,38.0,0.1,2.05,40.9,2,2023-10-15 05:32:36,53,6080,Home Appliances
38,86.57782847348447,73.92,0.1,8.66,173.16,2,2024-08-04 01:05:57,64,8261,Shoes
39,97.00729896638508,38.19,0.1,9.7,97.01,1,2024-04-23 14:32:51,59,3168,Watches
40,75.60531844838619,14.85,0.1,7.56,151.21,2,2024-05-03 05:48:03,67,11441,Automotive
41,83.06608750430081,69.38,0.1,8.31,83.07,1,2024-07-06 12:45:11,40,7868,Watches
42,96.4845336364726,42.62,0.1,9.65,96.48,1,2024-02-15 06:38:19,50,5533,Sports Equipment
43,28.15352710040883,15.28,0.1,2.82,56.31,2,2024-02-04 21:03:45,11,1345,Books
44,80.99161269627274,11.1,0.1,8.1,161.98,2,2023-09-19 17:13:01,69,10437,Outdoor
45,67.97628360360534,15.32,0.1,6.8,271.91,4,2023-09-17 15:29:49,8,5917,Sports Equipment
46,89.57582588746997,63.02,0.1,8.96,447.88,5,2024-05-19 03:06:01,4,7395,Furniture
47,63.43056976607762,51.58,0.1,6.34,253.72,4,2024-03-02 12:28:01,73,5542,Office Supplies
48,30.732828347955518,35.81,0.1,3.07,122.93,4,2024-04-09 07:13:16,56,2953,Shoes
49,56.97951000784316,21.75,0.1,5.7,170.94,3,2024-06-30 09:57:35,38,3188,Health
50,39.04610166122893,75.14,0.1,3.9,39.05,1,2023-12-24 05:36:06,51,2733,Musical Instruments
51,19.17346902292367,46.78,0.1,1.92,95.87,5,2024-08-04 20:19:56,21,2151,Furniture
52,56.97951000784316,21.75,0.1,5.7,113.96,2,2024-05-31 02:55:37,38,9520,Health
53,89.57582588746997,63.02,0.1,8.96,268.73,3,2024-07-24 17:01:32,4,4830,Furniture
54,47.498032604036084,60.38,0.1,4.75,142.49,3,2024-02-21 15:15:52,65,3291,Automotive
55,47.864689237188195,48.89,0.1,4.79,95.73,2,2023-12-12 20:13:44,16,1316,Shoes
56,41.837353137722474,12.39,0.1,4.18,83.67,2,2023-10-21 05:00:08,5,5092,Electronics
57,75.60531844838619,14.85,0.1,7.56,226.82,3,2023-09-26 10:33:35,67,8936,Automotive
58,21.353216199314794,87.69,0.1,2.14,106.77,5,2023-12-07 13:14:25,1,9224,Sports Equipment
59,81.03380456963924,57.65,0.1,8.1,162.07,2,2024-07-06 03:39:34,46,7712,Health
60,41.837353137722474,12.39,0.1,4.18,83.67,2,2023-12-14 07:53:46,5,10845,Electronics
61,81.03380456963924,57.65,0.1,8.1,162.07,2,2023-09-23 03:33:33,46,4561,Health
62,56.97951000784316,21.75,0.1,5.7,284.9,5,2024-06-18 09:00:00,38,1600,Health
63,29.26823590380502,28.89,0.1,2.93,29.27,1,2024-03-07 05:58:00,27,3857,Outdoor
64,75.77503833884339,66.07,0.1,7.58,378.88,5,2023-10-07 01:17:26,35,2741,Stationery
65,63.43056976607762,51.58,0.1,6.34,253.72,4,2023-12-20 18:42:37,73,9514,Office Supplies
66,79.14397537167619,54.49,0.1,7.91,79.14,1,2024-02-24 08:20:53,19,6377,Bags
67,28.847385801324787,33.89,0.1,2.88,57.69,2,2023-12-23 04:54:54,55,4150,Books
68,60.09700255156274,37.57,0.1,6.01,60.1,1,2024-09-07 17:52:49,70,5071,Office Supplies
69,20.450408232883554,38.0,0.1,2.05,61.35,3,2023-10-22 23:34:34,53,2097,Home Appliances
70,75.77503833884339,66.07,0.1,7.58,303.1,4,2024-06-01 01:35:47,35,3804,Stationery
71,63.43056976607762,51.58,0.1,6.34,317.15,5,2024-03-11 09:36:59,73,11715,Office Supplies
72,76.81917615903417,9.47,0.1,7.68,384.1,5,2023-12-30 06:16:40,74,1763,Furniture
73,47.6851378927706,61.93,0.1,4.77,47.69,1,2024-04-29 13:43:42,66,9088,Beauty
74,47.34371826502234,49.37,0.1,4.73,142.03,3,2023-11-12 21:01:13,68,3431,Electronics
75,98.94569455130691,76.87,0.1,9.89,494.73,5,2023-12-08 21:47:44,24,9658,Automotive
76,37.45831505939198,44.18,0.1,3.75,112.37,3,2023-11-29 06:03:33,43,7042,Outdoor
77,29.26823590380502,28.89,0.1,2.93,117.07,4,2023-12-15 01:41:09,27,8762,Outdoor
78,79.14397537167619,54.49,0.1,7.91,79.14,1,2024-02-07 17:35:29,19,2923,Bags
79,72.60004840460033,22.93,0.1,7.26,290.4,4,2024-04-27 12:26:08,30,4791,Automotive
80,14.11835247939678,89.8,0.1,1.41,14.12,1,2024-04-02 00:31:09,58,7861,Toys
81,39.68306791612835,19.32,0.1,3.97,119.05,3,2024-03-01 17:14:39,22,11417,Bags
82,77.38122631145288,73.32,0.1,7.74,232.14,3,2024-08-04 20:19:56,9,2151,Sports Equipment
83,81.39339682529803,83.27,0.1,8.14,81.39,1,2023-10-08 00:25:02,52,11150,Books
84,62.549589649191546,51.71,0.1,6.25,125.1,2,2024-07-21 16:03:10,47,165,Automotive
85,75.21676086746862,74.59,0.1,7.52,300.87,4,2024-04-17 06:08:32,42,4656,Accessories
86,19.17346902292367,46.78,0.1,1.92,57.52,3,2023-11-06 15:58:26,21,883,Furniture
87,34.448024150172465,80.4,0.1,3.44,68.9,2,2024-03-13 03:51:58,33,10817,Toys
88,44.23006637847685,29.23,0.1,4.42,176.92,4,2024-05-24 23:57:51,49,9225,Watches
89,57.09269639791527,49.37,0.1,5.71,57.09,1,2024-05-03 00:45:14,15,6494,Clothing
90,21.353216199314794,87.69,0.1,2.14,64.06,3,2024-02-22 18:40:12,1,623,Sports Equipment
91,28.30965611314191,31.79,0.1,2.83,56.62,2,2023-10-27 07:24:42,7,2358,Home Appliances
92,80.99161269627274,11.1,0.1,8.1,80.99,1,2024-01-09 06:58:31,69,8469,Outdoor
93,75.21676086746862,74.59,0.1,7.52,75.22,1,2024-08-14 15:53:20,42,12204,Accessories
94,86.57782847348447,73.92,0.1,8.66,173.16,2,2023-10-18 16:53:06,64,530,Shoes
95,39.04610166122893,75.14,0.1,3.9,39.05,1,2024-08-31 11:44:17,51,2700,Musical Instruments
96,58.92929636082109,52.58,0.1,5.89,58.93,1,2024-01-15 17:23:59,71,5435,Musical Instruments
97,62.549589649191546,51.71,0.1,6.25,312.75,5,2024-03-10 10:06:40,47,7933,Automotive
98,73.80273009321957,19.06,0.1,7.38,221.41,3,2024-03-30 08:01:53,32,339,Watches
99,20.450408232883554,38.0,0.1,2.05,20.45,1,2024-07-30 13:55:59,53,5681,Home Appliances
100,77.38122631145288,73.32,0.1,7.74,77.38,1,2024-07-11 11:04:40,9,11713,Sports Equipment
101,86.69760535715162,19.88,0.1,8.67,346.79,4,2024-01-24 14:09:47,10,11720,Beauty
102,17.15004649907335,47.22,0.1,1.72,17.15,1,2023-09-23 20:40:20,45,6150,Stationery
103,72.0994703243226,83.86,0.1,7.21,360.5,5,2024-05-21 18:34:50,6,8213,Clothing
104,86.57782847348447,73.92,0.1,8.66,259.73,3,2024-05-23 23:34:19,64,11711,Shoes
105,86.69760535715162,19.88,0.1,8.67,346.79,4,2024-09-06 03:10:44,10,10184,Beauty
106,78.12197670209814,80.52,0.1,7.81,312.49,4,2024-09-06 04:11:01,37,3472,Accessories
107,39.68306791612835,19.32,0.1,3.97,79.37,2,2024-06-17 17:30:16,22,7258,Bags
108,51.32966154137048,11.17,0.1,5.13,102.66,2,2023-12-15 17:43:21,18,7886,Bags
109,41.940209548708665,61.96,0.1,4.19,209.7,5,2024-06-13 17:32:01,0,5940,Stationery
110,72.60004840460033,22.93,0.1,7.26,290.4,4,2024-06-13 00:44:20,30,5876,Automotive
111,39.04610166122893,75.14,0.1,3.9,156.18,4,2023-10-17 15:49:43,51,10631,Musical Instruments
112,26.01661751570181,52.78,0.1,2.6,26.02,1,2024-04-10 05:24:51,44,298,Accessories
113,32.88832653572792,60.03,0.1,3.29,32.89,1,2024-04-27 14:07:05,23,10895,Clothing
114,72.0994703243226,83.86,0.1,7.21,360.5,5,2023-12-14 07:48:23,6,4174,Clothing
115,28.30965611314191,31.79,0.1,2.83,84.93,3,2023-12-03 21:41:31,7,2388,Home Appliances
116,31.740478597263916,69.04,0.1,3.17,126.96,4,2024-07-06 13:53:06,39,8504,Health
117,97.28660920842046,29.24,0.1,9.73,486.43,5,2023-10-11 12:48:23,63,6407,Automotive
118,57.09269639791527,49.37,0.1,5.71,228.37,4,2024-05-13 13:58:15,15,258,Clothing
119,76.81917615903417,9.47,0.1,7.68,384.1,5,2024-08-21 04:16:45,74,2958,Furniture
120,96.4845336364726,42.62,0.1,9.65,289.45,3,2023-09-20 15:42:58,50,3993,Sports Equipment
121,47.6851378927706,61.93,0.1,4.77,190.74,4,2023-12-18 23:39:53,66,6296,Beauty
122,39.68306791612835,19.32,0.1,3.97,79.37,2,2023-10-28 14:08:28,22,4552,Bags
123,72.93684881761908,22.58,0.1,7.29,364.68,5,2024-05-19 16:33:49,2,8582,Health
124,37.45831505939198,44.18,0.1,3.75,37.46,1,2024-07-19 06:33:01,43,954,Outdoor
125,34.448024150172465,80.4,0.1,3.44,103.34,3,2023-09-23 12:04:47,33,5534,Toys
126,27.270871743750455,16.05,0.1,2.73,136.35,5,2024-04-20 07:14:25,29,9958,Toys
127,41.837353137722474,12.39,0.1,4.18,125.51,3,2023-10-01 18:51:20,5,1664,Electronics
128,26.01661751570181,52.78,0.1,2.6,104.07,4,2024-02-23 08:19:54,44,571,Accessories
129,97.00729896638508,38.19,0.1,9.7,194.01,2,2024-07-17 14:54:29,59,7894,Watches
130,66.71294912310859,74.41,0.1,6.67,266.85,4,2024-06-29 09:22:56,61,10710,Bags
131,28.847385801324787,33.89,0.1,2.88,28.85,1,2024-01-28 03:23:54,55,11331,Books
132,63.43056976607762,51.58,0.1,6.34,317.15,5,2023-10-14 18:55:06,73,12202,Office Supplies
133,78.49122881742905,84.4,0.1,7.85,235.47,3,2024-05-05 09:47:11,41,9186,Jewelry
134,31.740478597263916,69.04,0.1,3.17,31.74,1,2023-10-18 16:53:06,39,530,Health
135,95.02773603626298,18.83,0.1,9.5,190.06,2,2023-10-13 23:07:52,72,10155,Furniture
136,73.80273009321957,19.06,0.1,7.38,295.21,4,2024-07-25 01:48:54,32,6647,Watches
137,72.93684881761908,22.58,0.1,7.29,218.81,3,2023-10-16 15:30:37,2,9428,Health
138,31.740478597263916,69.04,0.1,3.17,95.22,3,2023-10-13 00:11:41,39,9802,Health
139,29.26823590380502,28.89,0.1,2.93,58.54,2,2024-06-05 17:48:39,27,7111,Outdoor
140,43.7469583749273,85.75,0.1,4.37,174.99,4,2024-08-06 18:29:21,3,2642,Outdoor
141,66.71294912310859,74.41,0.1,6.67,333.56,5,2024-08-18 18:12:22,61,2632,Bags
142,67.97628360360534,15.32,0.1,6.8,67.98,1,2023-11-02 14:49:19,8,5289,Sports Equipment
143,72.0994703243226,83.86,0.1,7.21,72.1,1,2023-12-15 02:40:02,6,11850,Clothing
144,81.03380456963924,57.65,0.1,8.1,162.07,2,2023-11-11 06:03:20,46,6397,Health
145,84.01467501614277,67.92,0.1,8.4,420.07,5,2023-09-15 20:45:58,12,11119,Sports Equipment
146,56.97951000784316,21.75,0.1,5.7,170.94,3,2024-09-06 08:36:34,38,4868,Health
147,67.97628360360534,15.32,0.1,6.8,339.88,5,2024-06-23 06:02:36,8,8095,Sports Equipment
148,67.97628360360534,15.32,0.1,6.8,203.93,3,2023-10-01 04:26:11,8,11266,Sports Equipment
149,14.72871650971356,65.46,0.1,1.47,29.46,2,2024-02-02 23:32:32,31,8335,Outdoor
150,32.63079090586092,45.82,0.1,3.26,97.89,3,2023-09-19 01:16:07,36,4116,Clothing
151,47.864689237188195,48.89,0.1,4.79,95.73,2,2024-03-16 15:41:54,16,9141,Shoes
152,32.63079090586092,45.82,0.1,3.26,32.63,1,2023-10-01 04:37:19,36,4354,Clothing
153,60.09700255156274,37.57,0.1,6.01,180.29,3,2024-08-04 03:02:18,70,6369,Office Supplies
154,78.49122881742905,84.4,0.1,7.85,392.46,5,2024-02-20 05:26:45,41,10477,Jewelry
155,63.852829779548074,36.41,0.1,6.39,255.41,4,2024-04-13 03:59:43,28,9137,Stationery
156,81.39339682529803,83.27,0.1,8.14,162.79,2,2024-09-01 02:54:51,52,7770,Books
157,29.96504504552474,25.66,0.1,3.0,119.86,4,2024-05-12 04:46:33,34,1076,Stationery
158,30.732828347955518,35.81,0.1,3.07,30.73,1,2023-09-23 12:04:47,56,5534,Shoes
159,32.63079090586092,45.82,0.1,3.26,97.89,3,2024-08-14 14:50:27,36,9822,Clothing
160,37.45831505939198,44.18,0.1,3.75,149.83,4,2024-05-28 03:27:34,43,1941,Outdoor
161,20.450408232883554,38.0,0.1,2.05,40.9,2,2024-05-21 22:31:38,53,7213,Home Appliances
162,66.13277726026526,47.44,0.1,6.61,132.27,2,2024-04-25 06:08:35,14,5064,Office Supplies
163,47.498032604036084,60.38,0.1,4.75,47.5,1,2024-04-05 05:22:15,65,11998,Automotive
164,26.01661751570181,52.78,0.1,2.6,130.08,5,2024-07-24 06:05:30,44,10569,Accessories
165,47.598524329178005,21.42,0.1,4.76,47.6,1,2023-11-26 04:13:34,13,3633,Sports Equipment
166,39.68306791612835,19.32,0.1,3.97,79.37,2,2024-09-03 15:26:24,22,2096,Bags
167,97.28660920842046,29.24,0.1,9.73,389.15,4,2024-03-24 23:12:19,63,6507,Automotive
168,60.09700255156274,37.57,0.1,6.01,60.1,1,2023-11-24 04:10:28,70,7152,Office Supplies
169,14.72871650971356,65.46,0.1,1.47,29.46,2,2024-07-25 21:36:27,31,2539,Outdoor
170,81.39339682529803,83.27,0.1,8.14,325.57,4,2023-12-14 03:36:01,52,1896,Books
171,41.940209548708665,61.96,0.1,4.19,209.7,5,2023-11-16 14:36:36,0,2785,Stationery
172,44.23006637847685,29.23,0.1,4.42,221.15,5,2024-01-03 22:20:20,49,7478,Watches
173,47.864689237188195,48.89,0.1,4.79,47.86,1,2024-06-25 13:38:49,16,6718,Shoes
174,44.23006637847685,29.23,0.1,4.42,176.92,4,2024-07-10 20:54:55,49,1677,Watches
175,47.864689237188195,48.89,0.1,4.79,239.32,5,2023-11-17 02:38:56,16,11796,Shoes
176,47.6851378927706,61.93,0.1,4.77,238.43,5,2024-02-10 07:33:24,66,5429,Beauty
177,72.07976444129312,81.87,0.1,7.21,216.24,3,2023-11-19 13:55:11,26,9325,Watches
178,40.302340213882715,15.2,0.1,4.03,80.6,2,2024-01-31 19:12:52,48,2163,Toys
179,47.34371826502234,49.37,0.1,4.73,47.34,1,2024-02-27 01:16:36,68,6620,Electronics
180,21.353216199314794,87.69,0.1,2.14,85.41,4,2024-03-11 15:52:19,1,2827,Sports Equipment
181,19.17346902292367,46.78,0.1,1.92,19.17,1,2024-08-04 19:56:32,21,11128,Furniture
182,27.270871743750455,16.05,0.1,2.73,54.54,2,2024-06-07 15:10:29,29,6090,Toys
183,14.72871650971356,65.46,0.1,1.47,44.19,3,2024-05-07 06:32:21,31,11910,Outdoor
184,97.00729896638508,38.19,0.1,9.7,388.03,4,2024-05-01 02:47:33,59,6320,Watches
185,28.30965611314191,31.79,0.1,2.83,28.31,1,2024-08-18 06:29:43,7,7147,Home Appliances
186,37.45831505939198,44.18,0.1,3.75,37.46,1,2024-07-26 20:39:46,43,6141,Outdoor
187,47.6851378927706,61.93,0.1,4.77,190.74,4,2024-08-25 13:29:06,66,8809,Beauty
188,76.81917615903417,9.47,0.1,7.68,230.46,3,2024-04-03 19:00:34,74,9685,Furniture
189,58.92929636082109,52.58,0.1,5.89,294.65,5,2024-07-22 04:56:25,71,6005,Musical Instruments
190,97.28660920842046,29.24,0.1,9.73,291.86,3,2024-08-27 07:58:18,63,6200,Automotive
191,83.06608750430081,69.38,0.1,8.31,166.13,2,2024-01-05 10:36:17,40,196,Watches
192,43.430645515638595,18.31,0.1,4.34,86.86,2,2024-06-25 19:16:56,60,4221,Beauty
193,41.940209548708665,61.96,0.1,4.19,125.82,3,2024-07-18 07:08:03,0,6811,Stationery
194,52.665103583443766,86.75,0.1,5.27,52.67,1,2024-03-11 13:22:40,57,8691,Health
