order_id,created_at,currency_code,receipt_number,total_gross,total_tax,total_net,payment_method,paid_amount,customer_id
0,2024-05-03 03:49:09,USD,RCPT000000,104.73702883604027,10.47,94.27,Credit Card,104.73702883604027,1409
1,2024-05-04 08:58:29,USD,RCPT000001,98.67986416502949,9.87,88.81,Bitcoin,98.67986416502949,1354
2,2024-03-04 12:09:20,USD,RCPT000002,58.40426258567756,5.84,52.56,Credit Card,58.40426258567756,4099
3,2023-12-17 00:55:35,USD,RCPT000003,165.44768047721112,16.54,148.91,Paypal,165.44768047721112,1928
4,2024-04-25 06:34:14,USD,RCPT000004,33.267436089341885,3.33,29.94,Paypal,33.267436089341885,1009
5,2023-10-10 13:42:51,USD,RCPT000005,183.2291876245679,18.32,164.91,Bitcoin,183.2291876245679,4379
6,2023-12-11 18:36:10,USD,RCPT000006,84.18349736945632,8.42,75.76,Paypal,84.18349736945632,3352
7,2024-01-01 22:55:37,USD,RCPT000007,118.23244790389145,11.82,106.41,Bitcoin,118.23244790389145,3913
8,2023-12-27 08:39:33,USD,RCPT000008,138.03186033582608,13.8,124.23,Paypal,138.03186033582608,1361
9,2024-02-05 05:11:24,USD,RCPT000009,53.07703592396869,5.31,47.77,Paypal,53.07703592396869,3496
10,2023-11-15 02:44:17,USD,RCPT000010,40.09915668573507,4.01,36.09,Credit Card,40.09915668573507,2872
11,2024-06-03 14:33:36,USD,RCPT000011,165.34449342831104,16.53,148.81,Credit Card,165.34449342831104,4342
12,2023-12-23 07:55:47,USD,RCPT000012,184.3392638558037,18.43,165.91,Paypal,184.3392638558037,4241
13,2023-11-20 11:40:33,USD,RCPT000013,35.28485486494432,3.53,31.75,Bitcoin,35.28485486494432,591
14,2024-08-24 04:01:22,USD,RCPT000014,101.4255415791996,10.14,91.29,Credit Card,101.4255415791996,3663
15,2023-12-15 08:10:34,USD,RCPT000015,105.88321121752399,10.59,95.29,Bitcoin,105.88321121752399,3519
16,2024-03-30 04:54:47,USD,RCPT000016,20.30449282676537,2.03,18.27,Credit Card,20.30449282676537,3986
17,2024-05-27 13:15:58,USD,RCPT000017,41.6652091027094,4.17,37.5,Bitcoin,41.6652091027094,4013
18,2024-04-29 12:19:01,USD,RCPT000018,198.54882837564517,19.85,178.7,Credit Card,198.54882837564517,3605
19,2024-09-02 18:45:53,USD,RCPT000019,88.62347895671915,8.86,79.76,Credit Card,88.62347895671915,3888
